Publication Title,Number of Studies,Percentage
JOURNAL OF GENERAL VIROLOGY,3,42.857142857142854
JOURNAL OF VIROLOGY,1,14.285714285714285
NATURE STRUCTURAL & MOLECULAR BIOLOGY,1,14.285714285714285
PLOS PATHOGENS,1,14.285714285714285
SCIENTIFIC REPORTS,1,14.285714285714285
